Structure
EPS2 Kaffrine
EPS2 Kaolack
EPS2 Kolda
EPS2 Louga
EPS2 Matam
EPS2 Ndioum
EPS2 Ourossogui
EPS2 Saint-Louis
EPS2 Sédhiou
EPS2 Tamba
EPS2 Thiés
EPS2 Tivaoune
EPS2 Ziguinchor
EPS3 Abass NDAO
EPS3 Albert Royer
EPS3 Aristide Le Dantec
EPS3 Centre Psychiatrique de Thiaroye
EPS3 Cheikhoul Khadim
EPS3 Dalal Jam
EPS3 Fann
EPS3 HOGIP
EPS3 Hôpital Enfant de Diamniadio
EPS3 Matlaboul Fawzaïni
EPS3 Pikine
EPS3 Principal de Dakar
EPS3 Seydi El Hadji Malick de Tivaouane
Hôpital Barthimée
Hôpital Saint Jean de Dieu
IAAF
INEFJA (Institut National d'Education et de Formation des Jeunes Aveugles)
Inspection Interne
Inspection Médicale des Ecoles
Laboratoire Régional de Kaolack
Laboratoire Régional de Saint Louis
LNCM (Laboratoire Nationale de Contrôle des Médicaments)
LNSP (Laboratoire National de la Santé Publique)
Pharmacie regional d'approvisionement KOLDA
Pharmacie Régional d'Approvisionnement de Louga
PIRAM
PNLP (Programme Nationale de Lutte contre le Paludisme)
PNLS (Programme Nationale de Lutte contre le Sida)
PNLT (Programme national de lutte contre le tabac)
PNT (Programme Nationale de lutte contre la Tuberculose)
PRA (Pharmacie Régionale d'Approvisionnement Thies)
PRA Saint Louis
PRA(Pharmacie Régionale d'Approvisionnement de Ziguinchor)
PRA(Pharmacie Régionale d'Approvisionnement)
SAMU Municipal
SAMU National
Sapeurs Pompiers Kolda
Secrétariat Général
SEN PNA Siége
Service Nationale d'Hygiène
Service Régional CMU
Service Régional de l'Hygiène de Kaffrine
Service Régional PRA Dakar
Service régional PRA Diourbel
Service régional PRA Fatick
Service régional PRA Kaffrine
Service régional PRA Kaolack
Service régional PRA Kédougou
Service régional PRA Kolda
Service régional PRA Louga
Service régional PRA Matam
Service régional PRA Saint Louis
Service régional PRA Sédhiou
Service régional PRA Tamba
Service régional PRA Thiès
Service régional PRA Ziguinchor
SLAP (Service de Lutte Anti Parasitaire)
SNEIPS (Service Nationale de l'Education et de l'Information Pour la Santé)
Sous Brigade d’Hygiène Birkelane
Sous Brigade d’Hygiène de Khombole
Sous Brigade d’Hygiène de Podor
Sous Brigade d’Hygiène de Thiadiaye
Sous Brigade d’Hygiène Linguére
Sous Brigade d’Hygiène Sokone
Sous Brigade d'Hygiène Bakel
Sous Brigade d'Hygiène Bambey
Sous Brigade d'hygiène Birkelane
Sous Brigade d'Hygiène Bounkiling
Sous Brigade d'Hygiène Dagana
Sous Brigade d'Hygiène Darou Mousty
Sous brigade d'hygiène de Kaffrine
Sous Brigade d'hygiène de Kaolack
Sous brigade d'hygiène Dioffior
Sous Brigade d'Hygiène Diourbel
Sous Brigade d'hygiène DS Sud
Sous Brigade d'Hygiène Kebemer
Sous Brigade d'Hygiène Koumpentoum
Sous Brigade d'hygiène Koungheul
Sous Brigade d'Hygiène Louga
Sous Brigade d'Hygiène Makacoulibantang
Sous Brigade d'hygiène Malem Hodar
Sous Brigade d'Hygiène Malem Hoddar
Sous Brigade d'Hygiène Mbacké
Sous Brigade d'Hygiène Mbao
Sous Brigade d'hygiène Nganda
Sous Brigade d'Hygiène Niakhar
Sous Brigade d'hygiène Nioro
Sous Brigade d'Hygiène Pété
Sous Brigade d'Hygiène Podor
Sous Brigade d'Hygiène Popenguine
Sous Brigade d'Hygiène Richard Toll
Sous Brigade d'Hygiène Rufisque
Sous Brigade d'Hygiène Saint Louis
Sous Brigade d'Hygiène Saraya
Sous brigade d'hygiène Sokone
Sous Brigade d'Hygiène Tamba
Sous brigade d'hygiène Thies
Sous Brigade d'Hygiène Tivaoune
Sous Brigade Spéciale d'Hygiène Tivaouane
Sous-brigade d’hygiène de Joal
Sous-brigade d’hygiène de Mbour
Sous-brigade d’hygiène de Mékhé
Sous-brigade de l'hygiène Fatick
Sous-brigade de l'hygiène Foundiougne
Sous-brigade de l'hygiène Gossass
